,Dataset,Repetition,ADAPT,ADMIC-Basic,ADMIC
50,Zeller G(2014),50,0.651193633952255,0.742705570291777,0.641909814323607
51,Zeller G(2014),51,0.684350132625995,0.697612732095491,0.663129973474801
52,Zeller G(2014),52,0.563660477453581,0.755968169761273,0.758620689655172
53,Zeller G(2014),53,0.645888594164456,0.622015915119363,0.839522546419098
54,Zeller G(2014),54,0.561007957559682,0.629973474801061,0.697612732095491
55,Zeller G(2014),55,0.618037135278515,0.655172413793103,0.669761273209549
56,Zeller G(2014),56,0.615384615384615,0.60079575596817,0.679045092838196
57,Zeller G(2014),57,0.618037135278515,0.692307692307692,0.793103448275862
58,Zeller G(2014),58,0.753315649867374,0.805039787798409,0.668435013262599
59,Zeller G(2014),59,0.588859416445623,0.729442970822281,0.803713527851459
60,Zeller G(2014),60,0.70026525198939,0.679045092838196,0.76657824933687
61,Zeller G(2014),61,0.579575596816976,0.759946949602122,0.782493368700265
62,Zeller G(2014),62,0.645888594164456,0.627320954907162,0.73342175066313
63,Zeller G(2014),63,0.60079575596817,0.728116710875332,0.738726790450928
64,Zeller G(2014),64,0.809018567639257,0.648541114058355,0.717506631299735
65,Zeller G(2014),65,0.628647214854111,0.637931034482759,0.676392572944297
66,Zeller G(2014),66,0.687002652519894,0.592838196286472,0.517241379310345
67,Zeller G(2014),67,0.677718832891247,0.738726790450928,0.774535809018568
68,Zeller G(2014),68,0.575596816976127,0.607427055702918,0.688328912466844
69,Zeller G(2014),69,0.679045092838196,0.616710875331565,0.761273209549072
70,Zeller G(2014),70,0.590185676392573,0.559681697612732,0.724137931034483
71,Zeller G(2014),71,0.586206896551724,0.611405835543767,0.53315649867374
72,Zeller G(2014),72,0.827586206896552,0.782493368700265,0.751989389920424
73,Zeller G(2014),73,0.60079575596817,0.823607427055703,0.706896551724138
74,Zeller G(2014),74,0.725464190981432,0.744031830238727,0.710875331564987
75,Zeller G(2014),75,0.629973474801061,0.676392572944297,0.580901856763926
76,Zeller G(2014),76,0.741379310344828,0.823607427055703,0.702917771883289
77,Zeller G(2014),77,0.789124668435013,0.579575596816976,0.651193633952255
78,Zeller G(2014),78,0.712201591511936,0.596816976127321,0.807692307692308
79,Zeller G(2014),79,0.56631299734748,0.683023872679045,0.754641909814324
80,Zeller G(2014),80,0.623342175066313,0.69893899204244,0.679045092838196
81,Zeller G(2014),81,0.73342175066313,0.824933687002653,0.653846153846154
82,Zeller G(2014),82,0.656498673740053,0.717506631299735,0.770557029177719
83,Zeller G(2014),83,0.721485411140584,0.651193633952255,0.718832891246684
84,Zeller G(2014),84,0.70026525198939,0.872679045092838,0.620689655172414
85,Zeller G(2014),85,0.612732095490716,0.549071618037135,0.655172413793103
86,Zeller G(2014),86,0.56763925729443,0.771883289124668,0.754641909814324
87,Zeller G(2014),87,0.671087533156499,0.70026525198939,0.63262599469496
88,Zeller G(2014),88,0.816976127320955,0.726790450928382,0.564986737400531
89,Zeller G(2014),89,0.640583554376658,0.689655172413793,0.645888594164456
90,Zeller G(2014),90,0.677718832891247,0.704244031830239,0.66710875331565
91,Zeller G(2014),91,0.681697612732096,0.70159151193634,0.709549071618037
92,Zeller G(2014),92,0.643236074270557,0.708222811671087,0.677718832891247
93,Zeller G(2014),93,0.539787798408488,0.663129973474801,0.761273209549072
94,Zeller G(2014),94,0.729442970822281,0.704244031830239,0.525198938992043
95,Zeller G(2014),95,0.708222811671087,0.660477453580902,0.661803713527852
96,Zeller G(2014),96,0.648541114058355,0.70026525198939,0.655172413793103
97,Zeller G(2014),97,0.687002652519894,0.575596816976127,0.746684350132626
